Path,Visitors,Bounces,Views,Relative Visitors,Bounce Rate,Relative Views,Average Time Spent on Page (seconds)
"/2023/06/comparaison-salaires-france-us",408,406,419,0.207528,0.975962,0.166402,0
"/2022/01/31/que-fait-un-engineering-manager",125,114,131,0.063581,0.897638,0.052025,0
"/2021/09/01/differences-entre-vp-engineering-et-cto",120,122,128,0.061038,0.960630,0.050834,0
"/en/2023/11/idp",113,107,120,0.057477,0.891667,0.047657,0
"/en/2023/11/chatgpt-to-the-rescue",105,90,117,0.053408,0.803571,0.046465,0
"/2022/01/11/outil-de-calcul-de-revenus-pour-freelance-et-salaries",101,76,123,0.051373,0.716981,0.048848,0
"/",91,35,118,0.046287,0.376344,0.046863,0
"/2023/11/chatgpt-to-the-rescue",71,54,78,0.036114,0.710526,0.030977,0
"/2023/11/idp",52,45,61,0.026450,0.750000,0.024226,0
"/2014/10/07/le-10eme-homme",50,50,50,0.025432,1.000000,0.019857,0
"/2019/12/19/quest-ce-quun-ecosysteme-tech",50,50,50,0.025432,1.000000,0.019857,0
"/2010/05/11/calcul-de-la-velocite",43,41,44,0.021872,0.953488,0.017474,0
"/2019/07/03/mongodb-vers-postgresql",42,39,45,0.021363,0.906977,0.017871,0
"/2021/06/24/senior-avec-6-ans-dexperience-et-apres",39,41,43,0.019837,0.976190,0.017077,0
"/2013/09/28/mongodb-utiliser-les-proprietes-de-vos-objectid-dans-vos-mapreduce",34,34,34,0.017294,1.000000,0.013503,0
"/2023/10/planning-efficient-teams",34,29,37,0.017294,0.805556,0.014694,0
"/blog",33,5,54,0.016785,0.151515,0.021446,0
"/2023/05/evolution-salaries-10-years",32,27,32,0.016277,0.843750,0.012708,0
"/2023/11/opportunity-solution-tree",32,25,35,0.016277,0.735294,0.013900,0
"/2021/07/06/les-salaires-dans-la-tech",30,31,32,0.015259,0.968750,0.012708,0
"/2014/01/24/calculer-ses-revenus-entre-eurl-sasu-et-salariat",28,9,31,0.014242,0.321429,0.012311,0
